dir_name,ckpt_path,config_path,log_path,linear_top1_accuracy,linear_top3_accuracy,linear_top1_average_accuracy,linear_knn_top1_accuracy
Base_mdBarlowTwins_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_mdBarlowTwins_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=234.10.ckpt,experiment_checkpoints/Magic_cube\Base_mdBarlowTwins_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_mdBarlowTwins_VMmean_n_ep50_v4\Base_mdBarlowTwins_VMmean_n_ep50_v4.csv,0.553723138,0.846576712,0.551006212,0.514742629
Base_mdBarlowTwins_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_mdBarlowTwins_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=450.88.ckpt,experiment_checkpoints/Magic_cube\Base_mdBarlowTwins_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_mdBarlowTwins_VMNone_ep50_v2\Base_mdBarlowTwins_VMNone_ep50_v2.csv,0.592203898,0.883558221,0.591355783,0.56021989
Base_mdBYOL_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_mdBYOL_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=-0.93.ckpt,experiment_checkpoints/Magic_cube\Base_mdBYOL_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_mdBYOL_VMmean_n_ep50_v4\Base_mdBYOL_VMmean_n_ep50_v4.csv,0.698150925,0.922038981,0.697308032,0.691654173
Base_mdBYOL_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_mdBYOL_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=-0.84.ckpt,experiment_checkpoints/Magic_cube\Base_mdBYOL_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_mdBYOL_VMNone_ep50_v2\Base_mdBYOL_VMNone_ep50_v2.csv,0.555222389,0.862068966,0.554982471,0.527236382
Base_mdDCL_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_mdDCL_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=3.82.ckpt,experiment_checkpoints/Magic_cube\Base_mdDCL_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_mdDCL_VMmean_n_ep50_v4\Base_mdDCL_VMmean_n_ep50_v4.csv,0.650184908,0.887556222,0.627420796,0.636181909
Base_mdDCL_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_mdDCL_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=6.51.ckpt,experiment_checkpoints/Magic_cube\Base_mdDCL_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_mdDCL_VMNone_ep50_v2\Base_mdDCL_VMNone_ep50_v2.csv,0.636181909,0.877061469,0.633277298,0.650674663
Base_mdMoCo_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_mdMoCo_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=6.65.ckpt,experiment_checkpoints/Magic_cube\Base_mdMoCo_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_mdMoCo_VMmean_n_ep50_v4\Base_mdMoCo_VMmean_n_ep50_v4.csv,0.666166917,0.922538731,0.66660027,0.672163918
Base_mdMoCo_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_mdMoCo_VMNone_ep50_v2\checkpoints-epoch=24-train_loss=6.33.ckpt,experiment_checkpoints/Magic_cube\Base_mdMoCo_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_mdMoCo_VMNone_ep50_v2\Base_mdMoCo_VMNone_ep50_v2.csv,0.325337331,0.632683658,0.321526566,0.295352324
Base_mdSimCLR_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_mdSimCLR_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=4.51.ckpt,experiment_checkpoints/Magic_cube\Base_mdSimCLR_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_mdSimCLR_VMmean_n_ep50_v4\Base_mdSimCLR_VMmean_n_ep50_v4.csv,0.72113943,0.935032484,0.720147192,0.710644678
Base_mdSimCLR_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_mdSimCLR_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=4.88.ckpt,experiment_checkpoints/Magic_cube\Base_mdSimCLR_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_mdSimCLR_VMNone_ep50_v2\Base_mdSimCLR_VMNone_ep50_v2.csv,0.584707646,0.87806097,0.581426881,0.56021989
Base_mdSimSiam_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_mdSimSiam_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=-0.91.ckpt,experiment_checkpoints/Magic_cube\Base_mdSimSiam_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_mdSimSiam_VMmean_n_ep50_v4\Base_mdSimSiam_VMmean_n_ep50_v4.csv,0.703648176,0.930034983,0.703227457,0.697651174
Base_mdSimSiam_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_mdSimSiam_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=-0.83.ckpt,experiment_checkpoints/Magic_cube\Base_mdSimSiam_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_mdSimSiam_VMNone_ep50_v2\Base_mdSimSiam_VMNone_ep50_v2.csv,0.433283358,0.756621689,0.424922562,0.408795602
Base_mdVICReg_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_mdVICReg_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=17.89.ckpt,experiment_checkpoints/Magic_cube\Base_mdVICReg_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_mdVICReg_VMmean_n_ep50_v4\Base_mdVICReg_VMmean_n_ep50_v4.csv,0.548225887,0.83808096,0.543261484,0.498750625
Base_mdVICReg_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_mdVICReg_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=20.65.ckpt,experiment_checkpoints/Magic_cube\Base_mdVICReg_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_mdVICReg_VMNone_ep50_v2\Base_mdVICReg_VMNone_ep50_v2.csv,0.406296852,0.756621689,0.401879552,0.391804098
