dir_name,ckpt_path,config_path,log_path,linear_top1_accuracy,linear_top3_accuracy,linear_top1_average_accuracy,linear_knn_top1_accuracy
Base_ImageNet_mdBarlowTwins_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBarlowTwins_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=237.59.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBarlowTwins_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBarlowTwins_VMmean_n_ep50_v4\Base_ImageNet_mdBarlowTwins_VMmean_n_ep50_v4.csv,0.052,0.111,0.053883977,0.0475
Base_ImageNet_mdBarlowTwins_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBarlowTwins_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=324.32.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBarlowTwins_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBarlowTwins_VMNone_ep50_v2\Base_ImageNet_mdBarlowTwins_VMNone_ep50_v2.csv,0.153,0.26,0.154614168,0.1365
Base_ImageNet_mdBYOL_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBYOL_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=-0.95.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBYOL_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBYOL_VMmean_n_ep50_v4\Base_ImageNet_mdBYOL_VMmean_n_ep50_v4.csv,0.118,0.226,0.127168332,0.1825
Base_ImageNet_mdBYOL_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBYOL_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=-0.88.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBYOL_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdBYOL_VMNone_ep50_v2\Base_ImageNet_mdBYOL_VMNone_ep50_v2.csv,0.057,0.1365,0.062705447,0.0815
Base_ImageNet_mdDCL_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_ImageNet_mdDCL_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=3.29.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdDCL_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdDCL_VMmean_n_ep50_v4\Base_ImageNet_mdDCL_VMmean_n_ep50_v4.csv,0.1995,0.333,0.207887177,0.15
Base_ImageNet_mdDCL_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_ImageNet_mdDCL_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=5.16.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdDCL_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdDCL_VMNone_ep50_v2\Base_ImageNet_mdDCL_VMNone_ep50_v2.csv,0.1625,0.3055,0.161360625,0.1365
Base_ImageNet_mdMoCo_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_ImageNet_mdMoCo_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=6.58.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdMoCo_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdMoCo_VMmean_n_ep50_v4\Base_ImageNet_mdMoCo_VMmean_n_ep50_v4.csv,0.1455,0.2875,0.149370615,0.144
Base_ImageNet_mdMoCo_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_ImageNet_mdMoCo_VMNone_ep50_v2\checkpoints-epoch=14-train_loss=6.34.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdMoCo_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdMoCo_VMNone_ep50_v2\Base_ImageNet_mdMoCo_VMNone_ep50_v2.csv,0.005,0.015,0.005,0.02
Base_ImageNet_mdSimCLR_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimCLR_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=4.50.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimCLR_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimCLR_VMmean_n_ep50_v4\Base_ImageNet_mdSimCLR_VMmean_n_ep50_v4.csv,0.0905,0.2145,0.096645091,0.0905
Base_ImageNet_mdSimCLR_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimCLR_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=4.71.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimCLR_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimCLR_VMNone_ep50_v2\Base_ImageNet_mdSimCLR_VMNone_ep50_v2.csv,0.102,0.2185,0.107347958,0.1125
Base_ImageNet_mdSimSiam_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimSiam_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=-0.93.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimSiam_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimSiam_VMmean_n_ep50_v4\Base_ImageNet_mdSimSiam_VMmean_n_ep50_v4.csv,0.098,0.2025,0.10871799,0.139
Base_ImageNet_mdSimSiam_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimSiam_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=-0.84.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimSiam_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdSimSiam_VMNone_ep50_v2\Base_ImageNet_mdSimSiam_VMNone_ep50_v2.csv,0.0485,0.12,0.054864316,0.07
Base_ImageNet_mdVICReg_VMmean_n_ep50_v4,experiment_checkpoints/Magic_cube\Base_ImageNet_mdVICReg_VMmean_n_ep50_v4\checkpoints-epoch=49-train_loss=15.71.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdVICReg_VMmean_n_ep50_v4\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdVICReg_VMmean_n_ep50_v4\Base_ImageNet_mdVICReg_VMmean_n_ep50_v4.csv,0.194,0.3455,0.202134819,0.148
Base_ImageNet_mdVICReg_VMNone_ep50_v2,experiment_checkpoints/Magic_cube\Base_ImageNet_mdVICReg_VMNone_ep50_v2\checkpoints-epoch=49-train_loss=18.47.ckpt,experiment_checkpoints/Magic_cube\Base_ImageNet_mdVICReg_VMNone_ep50_v2\config.yaml,experiment_checkpoints/Magic_cube\Base_ImageNet_mdVICReg_VMNone_ep50_v2\Base_ImageNet_mdVICReg_VMNone_ep50_v2.csv,0.148,0.302,0.149134671,0.1025
