step,representation_std
49,0.9919363856315613
99,0.9771522283554077
149,0.9625622034072876
199,0.9481918811798096
249,0.9340375661849976
299,0.9200951457023621
349,0.9063586592674255
399,0.8928306102752686
449,0.8795133233070374
499,0.8663938045501709
549,0.853471040725708
599,0.8407391309738159
649,0.8282017111778259
699,0.8158488273620605
749,0.803680419921875
799,0.7917059659957886
849,0.7799332141876221
899,0.7683351635932922
949,0.7569084167480469
999,0.7456527948379517
1049,0.7345635890960693
1099,0.7236392498016357
1149,0.7128770351409912
1199,0.7023054957389832
1249,0.6919119358062744
1299,0.6816726922988892
1349,0.6715826988220215
1399,0.6616445779800415
1449,0.6518508195877075
1499,0.6422044634819031
1549,0.6326992511749268
1599,0.6233934164047241
1649,0.6142294406890869
1699,0.6052002906799316
1749,0.5963037014007568
1799,0.5875413417816162
1849,0.5789042115211487
1899,0.5703954696655273
1949,0.5620105266571045
1999,0.553823709487915
2049,0.5457504391670227
2099,0.5378005504608154
2149,0.5299649238586426
2199,0.522241473197937
2249,0.5146329998970032
2299,0.5071327686309814
2349,0.4997534155845642
2399,0.4925529658794403
2449,0.48546102643013
