step,kNN_accuracy
1949,35.206478118896484
3899,38.546146392822266
5849,43.645633697509766
7799,46.335365295410156
9749,48.295169830322266
11699,49.905006408691406
13649,52.754722595214844
15599,53.734622955322266
17549,54.66453552246094
19499,54.93450927734375
