step,kNN_accuracy
484,31.576841354370117
969,30.516948699951172
1454,29.64703369140625
1939,29.927005767822266
2424,30.616939544677734
2909,34.96650314331055
3394,35.8164176940918
3879,36.77632141113281
4364,37.606239318847656
4849,37.57624435424805
