step,train_loss
49,-0.7276986837387085
99,-0.7934598922729492
149,-0.8622103929519653
199,-0.8667543530464172
49,-0.7533810138702393
99,-0.8301777839660645
149,-0.8612895011901855
199,-0.8402003645896912
249,-0.8657000064849854
299,-0.8481690883636475
349,-0.8286471366882324
399,-0.8653993010520935
449,-0.8581379055976868
499,-0.8602666258811951
549,-0.8515300154685974
599,-0.8694278001785278
649,-0.8250203728675842
699,-0.8064433336257935
749,-0.8489047288894653
799,-0.837531566619873
849,-0.802422046661377
899,-0.8636139035224915
949,-0.851302981376648
999,-0.8126357197761536
1049,-0.8336420059204102
1099,-0.8598169088363647
1149,-0.821733832359314
1199,-0.8361395597457886
1249,-0.8646777868270874
1299,-0.8271527290344238
1349,-0.8152181506156921
1399,-0.8627421855926514
1449,-0.8283147811889648
1499,-0.8294187784194946
1549,-0.8410428166389465
1599,-0.8670328855514526
1649,-0.8001765608787537
1699,-0.8804095983505249
1749,-0.8928744792938232
1799,-0.8261737823486328
1849,-0.8487148880958557
1899,-0.8822091817855835
1949,-0.8314822912216187
1999,-0.8812309503555298
2049,-0.835259735584259
2099,-0.8766295313835144
2149,-0.8842791318893433
2199,-0.8489807844161987
2249,-0.8782080411911011
2299,-0.888420045375824
2349,-0.8416195511817932
2399,-0.8662117123603821
2449,-0.8864723443984985
2499,-0.8350397348403931
2549,-0.8616135716438293
2599,-0.917052686214447
2649,-0.894523024559021
2699,-0.8190484642982483
2749,-0.8680188655853271
2799,-0.8433135151863098
2849,-0.8880596160888672
2899,-0.8619849681854248
2949,-0.8421962261199951
2999,-0.9006770253181458
3049,-0.8902770280838013
3099,-0.8532777428627014
3149,-0.8930882215499878
3199,-0.8617452383041382
3249,-0.8826929330825806
3299,-0.8851841688156128
3349,-0.879842221736908
3399,-0.8592455387115479
3449,-0.8563119173049927
3499,-0.8611700534820557
3549,-0.8628599643707275
3599,-0.8795767426490784
3649,-0.8650335073471069
3699,-0.8839626908302307
3749,-0.8609286546707153
3799,-0.8550049662590027
3849,-0.8651496767997742
3899,-0.8601406812667847
3949,-0.8866779804229736
3999,-0.8741377592086792
4049,-0.8705409169197083
4099,-0.8743209838867188
4149,-0.8900455832481384
4199,-0.8961536288261414
4249,-0.8687413334846497
4299,-0.8676334023475647
4349,-0.890081524848938
4399,-0.8899321556091309
4449,-0.838022768497467
4499,-0.8808082342147827
4549,-0.8836452960968018
4599,-0.8765310645103455
4649,-0.8842779397964478
4699,-0.8631789684295654
4749,-0.8755207061767578
4799,-0.8895862698554993
4849,-0.8969619274139404
4899,-0.8964670300483704
4949,-0.9084093570709229
4999,-0.8660590648651123
5049,-0.9153462648391724
5099,-0.8659090995788574
5149,-0.9245548844337463
5199,-0.8838729858398438
5249,-0.8926713466644287
5299,-0.8839728832244873
5349,-0.8867598176002502
5399,-0.8933531045913696
5449,-0.8956689238548279
5499,-0.8891569375991821
5549,-0.8842109441757202
5599,-0.9040140509605408
5649,-0.9107750058174133
5699,-0.8762359619140625
5749,-0.8706284761428833
5799,-0.8999532461166382
5849,-0.8919614553451538
5899,-0.8875263929367065
5949,-0.8677271008491516
5999,-0.8746395707130432
6049,-0.885183572769165
6099,-0.8629340529441833
6149,-0.9061651825904846
6199,-0.904403567314148
6249,-0.8827733397483826
6299,-0.884006917476654
6349,-0.8933734893798828
6399,-0.8896787166595459
6449,-0.8673375844955444
6499,-0.8851507902145386
6549,-0.9086341261863708
6599,-0.8920375108718872
6649,-0.8924601078033447
6699,-0.8783857226371765
6749,-0.906746506690979
6799,-0.8881000280380249
6849,-0.8902730345726013
6899,-0.8718550205230713
6949,-0.8882260322570801
6999,-0.888866662979126
7049,-0.9088568687438965
7099,-0.8831811547279358
7149,-0.8800710439682007
7199,-0.9005691409111023
7249,-0.8960322141647339
7299,-0.890432596206665
7349,-0.8789581060409546
7399,-0.8669059872627258
7449,-0.8959702253341675
7499,-0.8919200897216797
7549,-0.9101707339286804
7599,-0.8866032958030701
7649,-0.8868927955627441
7699,-0.8709549903869629
7749,-0.888847291469574
7799,-0.8886502385139465
7849,-0.8738620281219482
7899,-0.8748353123664856
7949,-0.86903315782547
7999,-0.8837238550186157
8049,-0.8853574395179749
8099,-0.8825249671936035
8149,-0.9023513793945312
8199,-0.8971158862113953
8249,-0.8847649097442627
8299,-0.8790220022201538
8349,-0.8679214715957642
8399,-0.8898543119430542
8449,-0.8847160935401917
8499,-0.8796710968017578
8549,-0.8752105236053467
8599,-0.8909043073654175
8649,-0.8970152735710144
8699,-0.8855170607566833
8749,-0.8807781934738159
8799,-0.8912638425827026
8849,-0.885337769985199
8899,-0.9057196974754333
8949,-0.8784156441688538
8999,-0.8911899328231812
9049,-0.8806376457214355
9099,-0.8879892826080322
9149,-0.8958266973495483
9199,-0.893929123878479
9249,-0.8976436853408813
9299,-0.8915947675704956
9349,-0.8842978477478027
9399,-0.8840839862823486
9449,-0.8890955448150635
9499,-0.9005635976791382
9549,-0.8978449106216431
9599,-0.8878852128982544
9649,-0.8893124461174011
9699,-0.8793306946754456
9749,-0.8836513757705688
9799,-0.8837069272994995
9849,-0.9099419116973877
9899,-0.9075049161911011
9949,-0.9005298614501953
9999,-0.8988738059997559
10049,-0.8981744050979614
10099,-0.8953496217727661
10149,-0.8979312181472778
10199,-0.8880637884140015
10249,-0.9073486924171448
10299,-0.8993018865585327
10349,-0.902401864528656
10399,-0.9103715419769287
10449,-0.8929031491279602
10499,-0.904704213142395
10549,-0.9161986112594604
10599,-0.8999452590942383
10649,-0.8953857421875
10699,-0.8991119861602783
10749,-0.8824023008346558
10799,-0.8896739482879639
10849,-0.8992288112640381
10899,-0.9027047753334045
10949,-0.9107089042663574
10999,-0.8944103717803955
11049,-0.9080020189285278
11099,-0.9119886755943298
11149,-0.9010456800460815
11199,-0.9012289047241211
11249,-0.8963363170623779
11299,-0.8878148794174194
11349,-0.8867514133453369
11399,-0.8816713094711304
11449,-0.8968821167945862
11499,-0.9018281102180481
11549,-0.9022535085678101
11599,-0.8932591676712036
11649,-0.9039497375488281
11699,-0.894683837890625
11749,-0.8898919224739075
11799,-0.9114339351654053
11849,-0.8985065817832947
11899,-0.9058805704116821
11949,-0.9030269384384155
11999,-0.8884456753730774
12049,-0.920256495475769
12099,-0.9100943207740784
12149,-0.8920488357543945
12199,-0.9011608362197876
12249,-0.9066933393478394
12299,-0.8979947566986084
12349,-0.8994369506835938
12399,-0.893471896648407
12449,-0.9038228988647461
12499,-0.8908935785293579
12549,-0.900775671005249
12599,-0.8959674835205078
12649,-0.899371862411499
12699,-0.898111879825592
12749,-0.9041672945022583
12799,-0.8892390727996826
12849,-0.8799278140068054
12899,-0.9072707295417786
