step,kNN_accuracy
1949,54.94450378417969
3899,60.093994140625
5849,63.31366729736328
7799,65.8734130859375
9749,67.88320922851562
11699,70.46295166015625
13649,71.21287536621094
15599,70.75292205810547
17549,72.49275207519531
19499,71.95280456542969
21449,72.66273498535156
23399,73.32266235351562
25349,73.98260498046875
27299,74.34256744384766
29249,75.38246154785156
31199,75.34246826171875
33149,76.27237701416016
35099,76.59233856201172
37049,76.7523193359375
38999,77.45225524902344
40949,78.2121810913086
42899,78.41215515136719
44849,79.21208190917969
46799,79.49205017089844
48749,79.63203430175781
50699,80.37196350097656
52649,81.64183807373047
54599,81.93180847167969
56549,81.81182098388672
58499,81.81182098388672
60449,82.95170593261719
62399,84.3715591430664
64349,84.27157592773438
66299,84.65153503417969
68249,85.49144744873047
70199,85.81141662597656
72149,86.2813720703125
74099,86.22138214111328
76049,86.75132751464844
77999,86.2813720703125
