FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                 	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                         	|  1.5385e-06     	|  9750           	|  0.015          	|  0.00074019     	|
|  [Callback]ModelSummary.on_before_zero_grad                                                                                                                             	|  1.5385e-06     	|  9750           	|  0.015          	|  0.00074019     	|
|  [Callback]TQDMProgressBar.on_before_backward                                                                                                                           	|  1.5385e-06     	|  9750           	|  0.015          	|  0.00074019     	|
|  [Callback]TQDMProgressBar.on_train_start                                                                                                                               	|  0.015          	|  1              	|  0.015          	|  0.00074019     	|
|  [LightningModule]Toymodel.on_train_batch_start                                                                                                                         	|  1.5385e-06     	|  9750           	|  0.015          	|  0.00074019     	|
|  [Callback]ModelSummary.on_before_backward                                                                                                                              	|  1.5385e-06     	|  9750           	|  0.015          	|  0.00074019     	|
|  [LightningModule]Toymodel.configure_callbacks                                                                                                                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.prepare_data                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.setup                                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.setup                                                                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.setup                                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.configure_sharded_model                                                                                                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.configure_optimizers                                                                                                                         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_fit_start                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_fit_start                                                                                                                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
