step,kNN_accuracy
974,57.274269104003906
1949,58.2841682434082
2924,58.88411331176758
3899,59.1740837097168
4874,60.32396697998047
5849,62.91371154785156
6824,64.55354309082031
7799,65.45345306396484
8774,65.9634017944336
9749,66.39336395263672
