step,kNN_accuracy
484,37.436256408691406
969,39.686031341552734
1454,42.64573287963867
1939,43.49564743041992
2424,45.545448303222656
2909,46.90530776977539
3394,47.21527862548828
3879,48.79512023925781
4364,49.285072326660156
4849,50.77492141723633
5334,51.23487854003906
5819,52.90470886230469
6304,52.87471389770508
6789,53.07469177246094
7274,53.99460220336914
7759,54.344566345214844
8244,54.55454635620117
8729,55.31446838378906
9214,55.65443801879883
9699,56.2243766784668
10184,56.094390869140625
10669,56.33436584472656
11154,57.16427993774414
11639,57.374263763427734
12124,57.004295349121094
12609,57.854217529296875
13094,58.1641845703125
13579,58.994102478027344
14064,58.784122467041016
14549,59.44405746459961
15034,59.37406539916992
15519,60.063995361328125
16004,60.33396911621094
16489,60.343963623046875
16974,60.833919525146484
17459,60.8939094543457
17944,60.67393493652344
18429,61.00389862060547
18914,61.94380569458008
19399,60.923912048339844
