step,correlation
49,844.251220703125
99,977.0679321289062
149,946.0225219726562
199,895.4161376953125
249,920.6729736328125
299,840.8040771484375
349,803.0081787109375
399,767.182861328125
449,703.6239013671875
499,631.2635498046875
549,588.9207153320312
599,574.0481567382812
649,527.343017578125
699,456.29229736328125
749,448.5757141113281
799,415.8561096191406
849,383.3350830078125
899,370.5194396972656
949,341.3145751953125
999,320.8028869628906
1049,292.03204345703125
1099,273.9851379394531
1149,245.75460815429688
1199,223.78997802734375
1249,218.961669921875
1299,205.8299560546875
1349,185.61260986328125
1399,175.17300415039062
1449,167.34596252441406
1499,148.01229858398438
1549,140.2525177001953
1599,130.72921752929688
1649,119.58673095703125
1699,115.7725830078125
1749,108.37014770507812
1799,98.28431701660156
1849,97.32939147949219
1899,91.95079803466797
1949,85.31617736816406
1999,81.22203826904297
2049,74.82952880859375
2099,67.91329956054688
2149,65.52337646484375
2199,65.17605590820312
2249,63.35647964477539
2299,59.721229553222656
2349,55.03539276123047
2399,48.360755920410156
2449,44.13447570800781
2499,36.72111129760742
2549,38.95025634765625
2599,38.081661224365234
2649,34.615684509277344
2699,33.416969299316406
2749,30.917451858520508
2799,28.705942153930664
2849,26.69534683227539
2899,26.459108352661133
2949,23.583194732666016
2999,23.489364624023438
3049,22.416969299316406
3099,20.940441131591797
3149,19.3586368560791
3199,18.231964111328125
3249,17.60460662841797
3299,15.066995620727539
3349,15.667839050292969
3399,14.499112129211426
3449,14.244155883789062
3499,12.851224899291992
3549,11.132079124450684
3599,11.233919143676758
3649,10.552066802978516
3699,9.848222732543945
3749,9.172724723815918
3799,9.159685134887695
3849,8.182555198669434
3899,8.41903018951416
3949,7.9791107177734375
3999,7.858739852905273
4049,7.045148849487305
4099,6.70632791519165
4149,6.275804042816162
4199,5.846938610076904
4249,5.866940498352051
4299,5.406641960144043
4349,5.007298946380615
4399,5.131217002868652
4449,5.307836055755615
4499,4.882619857788086
4549,4.783324241638184
4599,4.881199359893799
4649,3.7265737056732178
4699,3.640176773071289
4749,2.9410762786865234
4799,3.6377508640289307
4849,3.1225943565368652
4899,2.770287036895752
4949,3.0639901161193848
4999,2.7625110149383545
5049,2.428402900695801
5099,2.6436495780944824
5149,2.621025562286377
5199,2.576523780822754
5249,2.3120458126068115
5299,1.9884482622146606
5349,2.259462356567383
5399,2.0214786529541016
5449,1.8558948040008545
5499,1.729675054550171
5549,1.8180413246154785
5599,1.7503206729888916
5649,1.4862089157104492
5699,1.459324598312378
5749,1.3418784141540527
5799,1.3247153759002686
5849,1.2060439586639404
5899,1.1559667587280273
5949,1.1859183311462402
5999,1.0732085704803467
6049,1.049087405204773
6099,0.9854741096496582
6149,0.8455740213394165
6199,0.9339886903762817
6249,0.8392465114593506
6299,0.7858299612998962
6349,0.73041832447052
6399,0.6769399642944336
6449,0.6515032052993774
6499,0.5940362215042114
6549,0.5706831216812134
6599,0.49822497367858887
6649,0.49290966987609863
6699,0.4612661898136139
6749,0.3865731358528137
6799,0.4688240587711334
6849,0.43590155243873596
6899,0.42263394594192505
6949,0.3626127541065216
6999,0.34195831418037415
7049,0.323667049407959
7099,0.33058804273605347
7149,0.25184082984924316
7199,0.27699989080429077
7249,0.253859281539917
7299,0.249897301197052
7349,0.2232622504234314
7399,0.21141892671585083
7449,0.22492378950119019
7499,0.2156793475151062
7549,0.18622997403144836
7599,0.15939271450042725
7649,0.17520363628864288
7699,0.15217304229736328
7749,0.1407981812953949
7799,0.15102991461753845
7849,0.13032925128936768
7899,0.1250273436307907
7949,0.11195791512727737
7999,0.11635980010032654
8049,0.10718433558940887
8099,0.10944630950689316
8149,0.0995069295167923
8199,0.09551145136356354
8249,0.09535840153694153
8299,0.07885274291038513
8349,0.08084642887115479
8399,0.0789155513048172
8449,0.061509352177381516
8499,0.06954821944236755
8549,0.06189890578389168
8599,0.06728158891201019
8649,0.057406701147556305
8699,0.056574780493974686
8749,0.04955306649208069
8799,0.051282308995723724
8849,0.04863888770341873
8899,0.04475151002407074
8949,0.04709126800298691
8999,0.039981696754693985
9049,0.043387722223997116
9099,0.0266476608812809
9149,0.03304397314786911
9199,0.031030206009745598
9249,0.03382968157529831
9299,0.031752441078424454
9349,0.02325412631034851
9399,0.02813015691936016
9449,0.022932469844818115
9499,0.020885437726974487
9549,0.02519465982913971
9599,0.02191063016653061
9649,0.022724857553839684
9699,0.018020713701844215
9749,0.020868496969342232
9799,0.01970006711781025
9849,0.017476219683885574
9899,0.016673032194375992
9949,0.01687493920326233
9999,0.015321777202188969
10049,0.014429434202611446
10099,0.013574574142694473
10149,0.011577244848012924
10199,0.012272671796381474
10249,0.01218448393046856
10299,0.011997293680906296
10349,0.011890873312950134
10399,0.012031512334942818
10449,0.010585242882370949
10499,0.009608568623661995
10549,0.009135637432336807
10599,0.00918517541140318
10649,0.007958544418215752
10699,0.008558463305234909
10749,0.008213579654693604
10799,0.007621411234140396
10849,0.0066467514261603355
10899,0.006376997567713261
10949,0.006778123788535595
10999,0.00624859519302845
11049,0.006058662198483944
11099,0.004863447975367308
11149,0.006321403663605452
11199,0.005602666176855564
11249,0.003701768582686782
11299,0.004639228340238333
11349,0.004461963661015034
11399,0.004647199995815754
11449,0.00450701080262661
11499,0.0047782957553863525
11549,0.004512311890721321
11599,0.0036942933220416307
11649,0.004054679535329342
11699,0.0031460849568247795
11749,0.002471999265253544
11799,0.003281911602243781
11849,0.0034525233786553144
11899,0.003190678311511874
11949,0.0027941393200308084
11999,0.0029428715351969004
12049,0.0031782654114067554
12099,0.002858629683032632
12149,0.002550223609432578
12199,0.0023997086100280285
12249,0.00106556317768991
12299,0.0024062758311629295
12349,0.0022635264322161674
12399,0.0021892255172133446
12449,0.0020181762520223856
12499,0.002038282807916403
12549,0.0017724913777783513
12599,0.0018801884725689888
12649,0.0017341839848086238
12699,0.0019437276059761643
12749,0.001833940390497446
12799,0.0017408598214387894
12849,0.001656753127463162
12899,0.0014825697289779782
12949,0.0015967239160090685
12999,0.0015296308556571603
13049,0.0015174278523772955
13099,0.001628770725801587
13149,0.0014618763234466314
13199,0.0015342050464823842
