step,epoch
3,0
7,0
11,1
15,1
19,2
23,2
27,3
31,3
35,4
39,4
39,4
43,5
47,5
51,6
55,6
59,7
63,7
67,8
71,8
75,9
79,9
79,9
83,10
87,10
91,11
95,11
99,12
103,12
107,13
111,13
115,14
119,14
119,14
123,15
127,15
131,16
135,16
139,17
143,17
147,18
151,18
155,19
159,19
159,19
163,20
167,20
171,21
175,21
179,22
183,22
187,23
191,23
195,24
199,24
199,24
203,25
207,25
211,26
215,26
219,27
223,27
227,28
231,28
235,29
239,29
239,29
243,30
247,30
251,31
255,31
259,32
263,32
267,33
271,33
275,34
279,34
279,34
283,35
287,35
291,36
295,36
299,37
303,37
307,38
311,38
315,39
319,39
319,39
323,40
327,40
331,41
335,41
339,42
343,42
347,43
351,43
355,44
359,44
359,44
363,45
367,45
371,46
375,46
379,47
383,47
387,48
391,48
395,49
399,49
399,49
403,50
407,50
411,51
415,51
419,52
423,52
427,53
431,53
435,54
439,54
439,54
443,55
447,55
451,56
455,56
459,57
463,57
467,58
471,58
475,59
479,59
479,59
483,60
487,60
491,61
495,61
499,62
503,62
507,63
511,63
515,64
519,64
519,64
523,65
527,65
531,66
535,66
539,67
543,67
547,68
551,68
555,69
559,69
559,69
563,70
567,70
571,71
575,71
579,72
583,72
587,73
591,73
595,74
599,74
599,74
603,75
607,75
611,76
615,76
619,77
623,77
627,78
631,78
635,79
639,79
639,79
643,80
647,80
651,81
655,81
659,82
663,82
667,83
671,83
675,84
679,84
679,84
683,85
687,85
691,86
695,86
699,87
703,87
707,88
711,88
715,89
719,89
719,89
723,90
727,90
731,91
735,91
739,92
743,92
747,93
751,93
755,94
759,94
759,94
763,95
767,95
771,96
775,96
779,97
783,97
787,98
791,98
795,99
799,99
799,99
