step,kNN_accuracy
484,27.627239227294922
969,32.026798248291016
1454,37.96620178222656
1939,44.585540771484375
2424,49.13508605957031
2909,52.79471969604492
3394,56.31436538696289
3879,58.01419448852539
4364,60.3039665222168
4849,60.29397201538086
