step,Cov_batch_ik_01_emb
49,2.077528953552246
99,3.089069128036499
149,4.918354034423828
199,2.5430431365966797
249,4.607968330383301
299,1.7178982496261597
349,1.4915767908096313
399,1.361864447593689
449,5.543639659881592
499,3.9959397315979004
549,2.969038486480713
599,0.8906410932540894
649,2.5279037952423096
699,2.4083685874938965
749,1.6130918264389038
799,2.20102596282959
849,1.5810097455978394
899,1.609599232673645
949,2.226060390472412
999,1.1011507511138916
1049,0.34208425879478455
1099,1.3919895887374878
1149,1.545422077178955
1199,0.7212732434272766
1249,0.37277743220329285
1299,0.8081341981887817
1349,0.40712830424308777
1399,0.37591803073883057
1449,0.7046729326248169
1499,0.1513751745223999
1549,0.5710985660552979
1599,0.7405927181243896
1649,0.3476598262786865
1699,0.06240878999233246
1749,0.29601147770881653
1799,0.09759978950023651
1849,0.43585777282714844
1899,0.39992594718933105
1949,0.26198893785476685
1999,0.4293644428253174
2049,0.36208733916282654
2099,0.5460999608039856
2149,0.22710064053535461
2199,0.41973206400871277
2249,0.3853132128715515
2299,0.14329883456230164
2349,0.052645064890384674
2399,0.2570013701915741
2449,0.16459870338439941
2499,0.11180966347455978
2549,0.18894699215888977
2599,0.2393305003643036
2649,0.13526546955108643
2699,0.14477461576461792
2749,0.23154930770397186
2799,0.050609298050403595
2849,0.162453293800354
2899,0.060341253876686096
2949,0.04466421902179718
2999,0.05807408317923546
3049,0.032795246690511703
3099,0.018419083207845688
3149,0.031733252108097076
3199,0.01851615682244301
3249,0.10014962404966354
3299,0.022693375125527382
3349,0.009660274721682072
3399,0.07402830570936203
3449,0.07721024751663208
3499,0.06141333281993866
3549,0.05673690885305405
3599,0.02864331565797329
3649,0.02392241358757019
3699,0.032176416367292404
3749,0.01954682171344757
3799,0.028837302699685097
3849,0.02752397581934929
3899,0.05572502315044403
3949,0.031214971095323563
3999,0.006921491585671902
4049,0.023654581978917122
4099,0.029865069314837456
4149,0.029116224497556686
4199,0.01951410435140133
4249,0.019585013389587402
4299,0.01672312244772911
4349,0.023370716720819473
4399,0.02639416605234146
4449,0.02326606959104538
4499,0.019182393327355385
4549,0.0032764587085694075
4599,0.013370057567954063
4649,0.0032884590327739716
4699,0.012283548712730408
4749,0.0021956022828817368
4799,0.006737413816154003
4849,0.011800378561019897
4899,0.0016665004659444094
4949,0.013484030030667782
4999,0.016077911481261253
5049,0.012723371386528015
5099,0.009883278980851173
5149,0.001268103951588273
5199,0.005188476759940386
5249,0.007839354686439037
5299,0.0028608478605747223
5349,0.0028720139525830746
5399,0.006051615811884403
5449,0.0056374333798885345
5499,0.004927692469209433
5549,0.0048563797026872635
5599,0.0012114113196730614
5649,0.0015184180811047554
5699,0.002530795056372881
5749,0.0028999513015151024
5799,0.0006663869717158377
5849,0.0034185019321739674
5899,0.002485966309905052
5949,0.0011755231535062194
5999,0.0020223225001245737
6049,0.0023175154346972704
6099,0.0027196742594242096
6149,0.0008057102095335722
6199,0.0008963195141404867
6249,0.0004727696068584919
6299,0.0005562290316447616
6349,0.0018627396784722805
6399,0.0003904224431607872
6449,0.00039290660060942173
6499,0.00020346556266304106
6549,0.000923342420719564
6599,0.0015874807722866535
6649,0.0010538818314671516
6699,0.0011477527441456914
6749,0.00047540973173454404
6799,0.0002204563352279365
6849,0.0009666436817497015
6899,0.0011471719481050968
6949,0.0008662136970087886
6999,0.001097709871828556
7049,0.000830798118840903
7099,0.0006062110769562423
7149,0.000923800515010953
7199,0.00023263850016519427
7249,0.00027203012723475695
7299,0.00016728320042602718
7349,0.00017309296526946127
7399,0.0004980097291991115
7449,0.00023058423539623618
7499,0.00015742029063403606
7549,0.00016634701751172543
7599,0.0003878650604747236
7649,0.0004856218001805246
7699,0.00014739220205228776
7749,8.437198994215578e-05
7799,0.00037106528179720044
7849,0.0003134196740575135
7899,0.000457109825219959
7949,0.0004352410032879561
7999,0.00011496726074256003
8049,0.00028638928779400885
8099,9.049943764694035e-05
8149,0.0003618685295805335
8199,0.00029846845427528024
8249,9.987506200559437e-05
8299,8.148457709467039e-05
8349,7.147582073230296e-05
8399,8.763202640693635e-05
8449,0.00011726187949534506
8499,7.812708645360544e-05
8549,6.84463739162311e-05
8599,0.0002503630821593106
8649,0.00018284728867001832
8699,6.75134506309405e-05
8749,6.038690116838552e-05
8799,6.219028728082776e-05
8849,0.00017284153727814555
8899,0.00016764197789598256
8949,6.95375056238845e-05
8999,0.00011779754277085885
9049,9.242587839253247e-05
9099,0.00018622452626004815
9149,6.892900273669511e-05
9199,6.154956645332277e-05
9249,0.0001153260818682611
9299,0.00015532434917986393
9349,3.761993139050901e-05
9399,4.503442323766649e-05
9449,0.00010965907131321728
9499,0.00011484207061585039
9549,8.898245869204402e-05
9599,0.00011028102017007768
9649,4.708314736490138e-05
9699,3.857327828882262e-05
9749,9.16742137633264e-05
9799,4.981758684152737e-05
9849,3.0626812076661736e-05
9899,3.333121276227757e-05
9949,6.285745621426031e-05
9999,7.40945542929694e-05
10049,2.437749208183959e-05
10099,7.287165499292314e-05
10149,7.907136750873178e-05
10199,2.3630927898921072e-05
10249,2.9018850909778848e-05
10299,2.6100580726051703e-05
10349,2.4828708774293773e-05
10399,4.2019491957034916e-05
10449,3.3068998163798824e-05
10499,2.273931931995321e-05
10549,5.0294052925892174e-05
10599,6.023657260811888e-05
10649,4.0844046452548355e-05
10699,2.2455049474956468e-05
10749,4.8520698328502476e-05
10799,3.747150185517967e-05
10849,1.9827564756269567e-05
10899,1.7359874618705362e-05
10949,2.6126836019102484e-05
10999,3.6196735891280696e-05
11049,2.045814471784979e-05
11099,4.4464843085734174e-05
11149,2.6155128580285236e-05
11199,2.426620267215185e-05
11249,1.953633181983605e-05
11299,2.1648724214173853e-05
11349,1.6336085536750033e-05
11399,1.945437179529108e-05
11449,3.253759496146813e-05
11499,3.397022737772204e-05
11549,3.039150578842964e-05
11599,1.543587859487161e-05
11649,2.1015577658545226e-05
11699,1.2983822671230882e-05
11749,1.616019471839536e-05
11799,2.692309681151528e-05
11849,2.0362529539852403e-05
11899,1.7634109099162742e-05
11949,1.0591787940938957e-05
11999,1.6163499822141603e-05
12049,1.3660595868714154e-05
12099,2.3620688807568513e-05
12149,1.1113580512756016e-05
12199,1.1530450137797743e-05
12249,2.3814822270651348e-05
12299,1.2174567018519156e-05
12349,1.1688971426337957e-05
12399,1.2479546057875268e-05
12449,1.0982377716572955e-05
12499,1.775618875399232e-05
12549,2.2979704226600006e-05
12599,9.368699465994723e-06
12649,8.087508831522427e-06
12699,1.3534845493268222e-05
12749,1.4446841305471025e-05
12799,8.265708856924903e-06
12849,1.5508550859522074e-05
12899,1.489997794124065e-05
12949,1.6649661120027304e-05
12999,1.9368726498214528e-05
13049,1.783550760592334e-05
13099,1.0374347766628489e-05
13149,8.112644536595326e-06
13199,8.191362212528475e-06
13249,1.7333024516119622e-05
13299,7.123289833543822e-06
13349,1.2669202988035977e-05
13399,7.833643394405954e-06
13449,1.174266253656242e-05
13499,1.4164617823553272e-05
13549,1.1700532922986895e-05
13599,6.873166967125144e-06
13649,8.328443072969094e-06
13699,1.2589688594744075e-05
13749,1.3319010577106383e-05
13799,7.692250619584229e-06
13849,1.1918829841306433e-05
13899,1.1787750736402813e-05
13949,1.0260824637953192e-05
13999,6.837982255092356e-06
14049,8.184009857359342e-06
14099,1.1835184523079079e-05
14149,1.3068555745121557e-05
14199,1.0988434041792061e-05
14249,8.646768947073724e-06
14299,1.0426122571516316e-05
14349,1.1183660717506427e-05
14399,9.62886588240508e-06
14449,6.681973900413141e-06
14499,6.158787073218264e-06
14549,6.343714630929753e-06
14599,6.935646069905488e-06
14649,1.0298934284946881e-05
14699,5.703589067707071e-06
14749,6.450545697589405e-06
14799,6.910060164955212e-06
14849,6.631682481383905e-06
14899,7.740012733847834e-06
14949,5.818232693854952e-06
14999,6.7486512307368685e-06
15049,6.257152563193813e-06
15099,7.075479061313672e-06
15149,6.564618161064573e-06
15199,5.898103154322598e-06
15249,6.356179255817551e-06
15299,5.672551651514368e-06
15349,6.682215826003812e-06
15399,5.516008059203159e-06
15449,5.7490760809741914e-06
15499,6.624453362746863e-06
15549,6.2069439081824385e-06
15599,6.234449301700806e-06
15649,5.28609643879463e-06
15699,5.220376806391869e-06
15749,5.165277798369061e-06
15799,5.726582912757294e-06
15849,5.36513834958896e-06
15899,5.919532213738421e-06
15949,5.667253844876541e-06
15999,6.043512257747352e-06
16049,5.584387508861255e-06
