step,kNN_accuracy
389,33.09668731689453
779,31.79681968688965
1169,32.33676528930664
1559,35.74642562866211
1949,36.32636642456055
2339,37.186279296875
2729,39.48604965209961
3119,39.35606384277344
3509,40.17598342895508
3899,40.81591796875
4289,40.94590377807617
4679,43.305667877197266
5069,41.80582046508789
5459,43.69563293457031
5849,44.77552032470703
6239,44.18558120727539
6629,45.635433197021484
7019,46.84531784057617
7409,46.935306549072266
7799,48.435157775878906
8189,49.905006408691406
8579,49.63503646850586
8969,50.704933166503906
9359,51.52484893798828
9749,50.764923095703125
10139,52.19477844238281
10529,53.69462966918945
10919,52.99469757080078
11309,53.594642639160156
11699,54.734527587890625
12089,54.904510498046875
12479,54.954505920410156
12869,55.50444793701172
13259,56.104393005371094
13649,56.64433670043945
14039,57.39426040649414
14429,57.31427001953125
14819,56.78432083129883
15209,58.10418701171875
15599,58.32416915893555
15989,58.184181213378906
16379,58.87411117553711
16769,58.784122467041016
17159,58.984100341796875
17549,59.214080810546875
17939,59.43405532836914
18329,59.44405746459961
18719,59.56404113769531
19109,59.544044494628906
19499,59.544044494628906
