step,correlation
49,828.2532348632812
99,1138.2738037109375
149,1192.132568359375
199,1130.358154296875
249,1198.544677734375
299,1107.71875
349,993.0272827148438
399,846.7918701171875
449,788.9693603515625
499,771.4608154296875
49,829.9429321289062
99,1257.09228515625
149,1240.424560546875
199,1319.7509765625
249,1208.9339599609375
299,1124.033203125
349,1117.130126953125
399,1068.34423828125
449,999.951904296875
499,941.0918579101562
549,873.7444458007812
599,762.242919921875
649,698.86181640625
699,686.2752685546875
749,611.8162841796875
799,550.3289184570312
849,542.9957885742188
899,504.26947021484375
949,498.749755859375
999,438.030029296875
1049,401.5756530761719
1099,377.1966552734375
1149,379.5335998535156
1199,367.86505126953125
1249,331.97564697265625
1299,323.171142578125
1349,280.28173828125
1399,278.9285888671875
1449,260.44488525390625
1499,239.93450927734375
1549,237.99954223632812
1599,212.91123962402344
1649,195.44259643554688
1699,172.8304901123047
1749,174.74169921875
1799,162.21524047851562
1849,156.263916015625
1899,175.97482299804688
1949,165.4794921875
1999,152.98544311523438
2049,137.29318237304688
2099,125.63159942626953
2149,117.1484146118164
2199,94.49281311035156
2249,91.19819641113281
2299,76.9341049194336
2349,78.51698303222656
2399,71.57424926757812
2449,60.19407653808594
2499,54.24465560913086
2549,47.06681823730469
2599,47.1640625
2649,42.450439453125
2699,37.87952423095703
2749,36.47751998901367
2799,33.684268951416016
2849,30.62934684753418
2899,28.21044158935547
2949,27.695890426635742
2999,25.66860580444336
3049,24.667171478271484
3099,23.385162353515625
3149,21.163509368896484
3199,20.738670349121094
3249,19.458192825317383
3299,19.067041397094727
3349,16.468120574951172
3399,16.075035095214844
3449,14.608366966247559
3499,13.954229354858398
3549,14.19566822052002
3599,12.384111404418945
3649,12.654390335083008
3699,11.48326301574707
3749,9.914358139038086
3799,9.1934232711792
3849,9.327949523925781
3899,8.811347961425781
3949,7.50236701965332
3999,7.013942718505859
4049,6.824162006378174
4099,6.367148399353027
4149,5.751181125640869
4199,5.500518798828125
4249,5.179738998413086
4299,4.4311347007751465
4349,4.489469051361084
4399,4.4018635749816895
4449,4.189844608306885
4499,3.691725730895996
4549,3.4942760467529297
4599,3.5498173236846924
4649,3.3072052001953125
4699,3.3997082710266113
4749,2.6930155754089355
4799,2.6021766662597656
4849,2.61946439743042
4899,2.674260139465332
4949,2.5565133094787598
4999,2.4047608375549316
5049,2.163179874420166
5099,2.0890676975250244
5149,1.8535990715026855
5199,1.8660240173339844
5249,1.6750473976135254
5299,1.620021104812622
5349,1.4959769248962402
5399,1.4754993915557861
5449,1.5038559436798096
5499,1.1575795412063599
5549,1.0197603702545166
5599,0.964654266834259
5649,0.8815324902534485
5699,0.9176895618438721
5749,0.82200026512146
5799,0.8086996078491211
5849,0.7774038314819336
5899,0.7622905969619751
5949,0.7031443119049072
5999,0.6397413015365601
6049,0.6221152544021606
6099,0.6004584431648254
6149,0.5742064118385315
6199,0.525984525680542
6249,0.5267733335494995
6299,0.5229332447052002
6349,0.510785698890686
6399,0.47662171721458435
6449,0.4449675381183624
6499,0.4305049777030945
6549,0.3913552761077881
6599,0.3598816990852356
6649,0.3608645796775818
6699,0.3526938259601593
6749,0.3189636468887329
6799,0.30269330739974976
6849,0.2963494062423706
6899,0.2790750563144684
6949,0.2770913243293762
6999,0.2535880208015442
7049,0.24845187366008759
7099,0.23109400272369385
7149,0.2223496288061142
7199,0.2243729531764984
7249,0.1934141218662262
7299,0.1884997934103012
7349,0.17107561230659485
7399,0.174760639667511
7449,0.17382308840751648
7499,0.16021254658699036
7549,0.15553706884384155
7599,0.1442907601594925
7649,0.13832992315292358
7699,0.13374117016792297
7749,0.13524994254112244
7799,0.13412553071975708
7849,0.11868898570537567
7899,0.11237701773643494
7949,0.11377503722906113
7999,0.10667481273412704
8049,0.1083705797791481
8099,0.09934419393539429
8149,0.08862005919218063
8199,0.08718662708997726
8249,0.08479161560535431
8299,0.0806739330291748
8349,0.08010542392730713
8399,0.07306969910860062
8449,0.0737108364701271
8499,0.07110744714736938
8549,0.07097581028938293
8599,0.061941906809806824
8649,0.061422958970069885
8699,0.06250873953104019
8749,0.05792400613427162
8799,0.057040974497795105
8849,0.05431612953543663
8899,0.0538090243935585
8949,0.05451832711696625
8999,0.04971471056342125
9049,0.047949258238077164
9099,0.04765522852540016
9149,0.04430728033185005
9199,0.043991073966026306
9249,0.042430367320775986
9299,0.045509129762649536
9349,0.039947278797626495
9399,0.0368257537484169
9449,0.034397028386592865
9499,0.036073315888643265
