step,epoch
49,0
99,1
149,1
199,2
249,2
299,3
349,3
399,4
449,4
484,4
499,5
549,5
599,6
649,6
699,7
749,7
799,8
849,8
899,9
949,9
969,9
999,10
1049,10
1099,11
1149,11
1199,12
1249,12
1299,13
1349,13
1399,14
1449,14
1454,14
1499,15
1549,15
1599,16
1649,17
1699,17
1749,18
1799,18
1849,19
1899,19
1939,19
1949,20
1999,20
2049,21
2099,21
2149,22
2199,22
2249,23
2299,23
2349,24
2399,24
2424,24
2449,25
2499,25
2549,26
2599,26
2649,27
2699,27
2749,28
2799,28
2849,29
2899,29
2909,29
2949,30
2999,30
3049,31
3099,31
3149,32
3199,32
3249,33
3299,34
3349,34
3394,34
3399,35
3449,35
3499,36
3549,36
3599,37
3649,37
3699,38
3749,38
3799,39
3849,39
3879,39
3899,40
3949,40
3999,41
4049,41
4099,42
4149,42
4199,43
4249,43
4299,44
4349,44
4364,44
4399,45
4449,45
4499,46
4549,46
4599,47
4649,47
4699,48
4749,48
4799,49
4849,49
4849,49
