step,std_view
49,0.6081054210662842
99,0.5163687467575073
149,0.43868497014045715
199,0.422414094209671
249,0.4218226671218872
299,0.4192034602165222
349,0.4019678831100464
399,0.4093783497810364
449,0.37260064482688904
499,0.35783931612968445
549,0.35170215368270874
599,0.3739802837371826
649,0.35748493671417236
699,0.34207776188850403
749,0.3130846917629242
799,0.30922770500183105
849,0.2768670320510864
899,0.287444531917572
949,0.2728418707847595
999,0.26439017057418823
1049,0.2611997723579407
1099,0.2651631534099579
1149,0.2564777135848999
1199,0.2501216232776642
1249,0.2368198037147522
1299,0.22704613208770752
1349,0.2081361711025238
1399,0.18959592282772064
1449,0.20028753578662872
1499,0.1882118582725525
1549,0.17156115174293518
1599,0.16960372030735016
1649,0.1565643548965454
1699,0.15396927297115326
1749,0.15316744148731232
1799,0.152538001537323
1849,0.11994262039661407
1899,0.14396099746227264
1949,0.1503697633743286
1999,0.14832475781440735
2049,0.14057105779647827
2099,0.12604600191116333
2149,0.12764686346054077
2199,0.11700911074876785
2249,0.10721920430660248
2299,0.1200045570731163
2349,0.10472060739994049
2399,0.10218687355518341
2449,0.096293605864048
2499,0.08283443748950958
2549,0.08957533538341522
2599,0.0881354808807373
2649,0.08322370797395706
2699,0.09085075557231903
2749,0.08203187584877014
2799,0.08016276359558105
2849,0.07640103995800018
2899,0.08258286118507385
2949,0.07915391027927399
2999,0.07555662840604782
3049,0.07145112752914429
3099,0.07156836986541748
3149,0.06998422741889954
3199,0.06476001441478729
3249,0.06502814590930939
3299,0.06743793189525604
3349,0.06751623749732971
3399,0.058768175542354584
3449,0.06068142503499985
3499,0.05857406556606293
3549,0.05699440464377403
3599,0.05555318295955658
3649,0.05863361805677414
3699,0.05328407883644104
3749,0.05852678418159485
3799,0.05835855379700661
3849,0.05663863569498062
3899,0.051693011075258255
3949,0.05308861285448074
3999,0.0511556938290596
4049,0.04786877706646919
4099,0.0492883026599884
4149,0.04764588549733162
4199,0.040388062596321106
4249,0.0469420924782753
4299,0.043883055448532104
4349,0.04359645023941994
4399,0.04497162997722626
4449,0.04376060888171196
4499,0.04390368610620499
4549,0.03995344787836075
4599,0.04258894547820091
4649,0.04017722234129906
4699,0.04022112488746643
4749,0.039346177130937576
4799,0.03858348727226257
4849,0.03833197057247162
4899,0.03861835226416588
4949,0.03791571781039238
4999,0.03424197435379028
5049,0.03620729595422745
5099,0.03578024357557297
5149,0.0341552197933197
5199,0.03484025225043297
5249,0.032389819622039795
5299,0.03314878046512604
5349,0.03319396823644638
5399,0.03389359265565872
5449,0.03250708803534508
5499,0.03282426297664642
5549,0.03249822556972504
5599,0.03195563331246376
5649,0.03163900971412659
5699,0.030512820929288864
5749,0.03006906248629093
5799,0.026994209736585617
5849,0.02817228063941002
5899,0.028355620801448822
5949,0.028979483991861343
5999,0.028296535834670067
6049,0.02834753505885601
6099,0.027411947026848793
6149,0.02746639773249626
6199,0.027495894581079483
6249,0.024800553917884827
6299,0.026993878185749054
6349,0.026737643405795097
6399,0.02705499902367592
6449,0.02512485906481743
6499,0.024552367627620697
6549,0.02467506006360054
6599,0.02540704794228077
6649,0.024792801588773727
6699,0.024462934583425522
6749,0.024809956550598145
6799,0.02392454445362091
6849,0.023408833891153336
6899,0.023014653474092484
6949,0.02442767843604088
6999,0.02326013147830963
7049,0.022451475262641907
7099,0.02218915894627571
7149,0.02207208424806595
7199,0.021586263552308083
7249,0.02176806516945362
7299,0.020868588238954544
7349,0.02062787488102913
7399,0.021657418459653854
7449,0.021257713437080383
7499,0.020619798451662064
7549,0.02035912312567234
7599,0.021227028220891953
7649,0.020207121968269348
7699,0.01998959109187126
7749,0.02002229541540146
7799,0.01916380785405636
7849,0.01983652450144291
7899,0.01954229176044464
7949,0.018443992361426353
7999,0.018701225519180298
8049,0.017904480919241905
8099,0.018198499456048012
8149,0.019081605598330498
8199,0.01734825037419796
8249,0.019091278314590454
8299,0.018214808776974678
8349,0.0184512697160244
8399,0.01754320040345192
8449,0.01862667314708233
8499,0.018388837575912476
8549,0.01777803525328636
8599,0.018245810642838478
8649,0.018232496455311775
8699,0.01716185361146927
8749,0.018061261624097824
8799,0.017110630869865417
8849,0.01676318049430847
8899,0.017268167808651924
8949,0.016932640224695206
8999,0.01660495065152645
9049,0.016896847635507584
9099,0.016985569149255753
9149,0.01660909876227379
9199,0.016226449981331825
9249,0.017447635531425476
9299,0.017229290679097176
9349,0.016808193176984787
9399,0.017485924065113068
9449,0.016661975532770157
9499,0.016535276547074318
9549,0.017363030463457108
9599,0.016951333731412888
9649,0.016884557902812958
9699,0.017192965373396873
9749,0.017358243465423584
