step,representation_std
49,0.9781071543693542
99,0.9490707516670227
149,0.9208683371543884
199,0.8935014009475708
249,0.8669704794883728
299,0.8412266373634338
349,0.816246747970581
399,0.7920209765434265
449,0.7685747146606445
499,0.7458184361457825
549,0.7237400412559509
599,0.7023381590843201
649,0.6816507577896118
699,0.6615696549415588
749,0.6420802474021912
799,0.623202919960022
849,0.6049683094024658
899,0.5872647762298584
949,0.5700781345367432
999,0.5534670352935791
1049,0.5374181270599365
1099,0.5218209624290466
1149,0.5066831111907959
1199,0.4920732378959656
1249,0.47794800996780396
1299,0.4642385244369507
1349,0.450918972492218
1399,0.43808481097221375
1449,0.4256708025932312
1499,0.41360265016555786
1549,0.401889443397522
1599,0.39064332842826843
1649,0.3797391653060913
1699,0.36914390325546265
1749,0.35883498191833496
1799,0.348946213722229
1849,0.33937954902648926
1899,0.33006221055984497
1949,0.3210216760635376
1999,0.31233957409858704
2049,0.30392035841941833
2099,0.29575642943382263
2149,0.2877786457538605
2199,0.2801724076271057
2249,0.27278411388397217
2299,0.2655665874481201
2349,0.25857657194137573
2399,0.25189995765686035
2449,0.24541336297988892
2499,0.23909974098205566
2549,0.2329566925764084
2599,0.2271040678024292
2649,0.22138968110084534
2699,0.21584762632846832
2749,0.21043124794960022
2799,0.20530381798744202
2849,0.20023037493228912
2899,0.19539090991020203
2949,0.19060781598091125
2999,0.18609941005706787
3049,0.18164831399917603
3099,0.17737096548080444
3149,0.1731950342655182
3199,0.1692148745059967
3249,0.1652844250202179
3299,0.1614377498626709
3349,0.15785709023475647
3399,0.15427875518798828
3449,0.1509002149105072
3499,0.14750444889068604
3549,0.144303560256958
3599,0.14117693901062012
3649,0.13820016384124756
3699,0.13519743084907532
3749,0.13236013054847717
3799,0.1296432912349701
3849,0.12690868973731995
3899,0.12425492703914642
3949,0.12184125930070877
3999,0.11939296126365662
4049,0.116999052464962
4099,0.11464577168226242
4149,0.11251511424779892
4199,0.11028999090194702
4249,0.1082533597946167
4299,0.10619211196899414
4349,0.10426301509141922
4399,0.10223348438739777
4449,0.1004251092672348
4499,0.09860420227050781
4549,0.09683588147163391
4599,0.09516793489456177
4649,0.09348231554031372
4699,0.09190785884857178
4749,0.09035013616085052
4799,0.08886952698230743
4849,0.08732084184885025
4899,0.08600927889347076
4949,0.08460895717144012
4999,0.08326920866966248
5049,0.08195041120052338
5099,0.08067873865365982
5149,0.07947176694869995
5199,0.07827605307102203
5249,0.07708588242530823
5299,0.07600945234298706
5349,0.07493828237056732
5399,0.0738198459148407
5449,0.07271745800971985
5499,0.071675606071949
5549,0.07080215960741043
5599,0.06979066133499146
5649,0.06880059093236923
5699,0.06794823706150055
5749,0.06721057742834091
5799,0.06634801626205444
5849,0.06541389226913452
5899,0.06460828334093094
5949,0.06395639479160309
5999,0.06325311958789825
6049,0.06243862956762314
6099,0.06169988214969635
6149,0.06113479286432266
6199,0.06035587191581726
6249,0.059827469289302826
6299,0.05910926312208176
6349,0.058462418615818024
6399,0.058040350675582886
6449,0.05724381282925606
6499,0.0567636713385582
6549,0.05616825819015503
6599,0.05561750382184982
6649,0.055176980793476105
6699,0.05468752235174179
6749,0.054100893437862396
6799,0.05362938717007637
6849,0.05316177383065224
6899,0.05275484547019005
6949,0.052472323179244995
6999,0.05193031579256058
7049,0.051490966230630875
7099,0.050952523946762085
7149,0.050800517201423645
7199,0.05022179335355759
7249,0.0499417819082737
7299,0.049526557326316833
7349,0.049424462020397186
7399,0.0491810142993927
7449,0.048866014927625656
7499,0.048554785549640656
7549,0.04821818321943283
7599,0.047954119741916656
7649,0.047524698078632355
7699,0.04740127921104431
7749,0.047024935483932495
7799,0.046783432364463806
7849,0.04665905609726906
7899,0.04643271118402481
7949,0.04623335599899292
7999,0.04600564390420914
8049,0.04577910155057907
8099,0.04556883126497269
8149,0.04522373899817467
8199,0.04519566148519516
8249,0.04508666694164276
8299,0.0449257493019104
8349,0.04474160075187683
8399,0.044654686003923416
8449,0.044553108513355255
8499,0.044369183480739594
8549,0.04430491849780083
8599,0.04425027221441269
8649,0.04427183046936989
8699,0.04400404170155525
8749,0.04399450123310089
8799,0.04394836723804474
8849,0.04382148012518883
8899,0.04373421519994736
8949,0.04363757744431496
8999,0.04362202435731888
9049,0.04361190274357796
9099,0.043464090675115585
9149,0.043502457439899445
9199,0.043400831520557404
9249,0.04342736303806305
9299,0.043395012617111206
9349,0.04337213933467865
9399,0.04346701502799988
9449,0.04331083595752716
9499,0.0432908870279789
9549,0.043303221464157104
9599,0.04336254298686981
9649,0.04330418258905411
9699,0.043383046984672546
9749,0.04335538297891617
